Research Category,Project Title,Research Question,Required Data,Collection Method,Minimum Sample Size,Limitations,Reviewer,Publication Threshold,Personal Data Required,Consent Needed,Reproducible,Link-Earning Potential,Related Calculator/Tool,Related Topic Cluster
Broker Costs,UK Retail Broker Spread & Commission Audit,What is the net round-trip cost across FCA brokers for EUR/USD and FTSE 100?,Live bid-ask tick data & overnight swap specs,VPS automated scraper & tick logging,500 tick logs per session,"Excludes news spikes",Regulatory Reviewer,VERIFIED,No,No,Yes,High,Broker Screener (/brokers/all),Broker Intelligence
Broker Costs,Overnight Financing Swap Rate Benchmarks,How do long/short swap rates vary across major CFD brokers for gold and indices?,Daily swap rate schedules from 10 brokers,Daily API log & broker spec sheets,90 days of daily swap rates,"Subject to central bank rate changes",Quantitative Risk Reviewer,VERIFIED,No,No,Yes,High,Position Sizing Calculator,Broker Intelligence
Execution,Retail Order Slippage & Rejection Rates,What percentage of limit vs market orders experience negative slippage during London open?,Order fill timestamps vs requested prices,Automated execution logging across 3 account types,1000 executed orders,"Limited to tested broker servers",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,Very High,Broker Screener,Broker Intelligence
Withdrawal,Retail Broker Withdrawal Processing Times & Friction,What is the mean elapsed time from withdrawal request to bank receipt across top brokers?,Withdrawal timestamps & fee logs,First-party test withdrawal logs,50 test withdrawals,"Individual bank processing variations",Regulatory Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,Very High,Broker Screener,Broker Intelligence
Risk Math,Non-Linear Drawdown Recovery Curves & Position Decay,How does loss depth non-linearly accelerate recovery trade count under fixed risk?,Monte Carlo equity curve iterations,Python Monte Carlo simulation model,10000 equity curves,"Constant spread assumption",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,High,Drawdown Recovery Calculator,Risk and Drawdown
Risk Math,Risk of Ruin Sensitivity to Consecutive Loss Clusters,What win rate and reward-to-risk thresholds guarantee >50% probability of 20% drawdown?,Loss cluster frequencies across win rate grids,Statistical probability calculation,100000 simulated trades,"Zero slippage assumption",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,High,Risk of Ruin Simulator,Risk and Drawdown
Prop-Firm,Trailing Drawdown vs Static Loss Rule Survival Probabilities,How much does a trailing drawdown rule reduce expected account survival compared to static?,Equity curve simulations with trailing stop logic,Monte Carlo rule simulator,5000 challenge runs,"Ignores trader psychological adjustments",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,Very High,Prop Firm Challenge Calculator,Prop-Firm Survival
Prop-Firm,Prop-Firm Challenge Effective Break-Even Economics,What net account profit percentage is required to recover out-of-pocket challenge and reset fees?,Challenge fee structures & payout splits,Empirical market fee compilation,20 prop firm fee schedules,"Changes in firm pricing models",Regulatory Reviewer,VERIFIED,No,No,Yes,High,Prop Firm Challenge Calculator,Prop-Firm Survival
Behavior,Impact of Trade Journaling on Process Adherence,Do traders who log trade invalidation reasons show lower rates of revenge trading?,Anonymized user journal log metrics,Opt-in platform activity telemetry,500 anonymized journals,"Self-reporting bias",Head of Research,DRAWDOWN_OBSERVED,Yes (Anonymized),Yes,Yes,Medium,AI Trade Journal,Trading Process
Behavior,Trading Frequency vs Risk-Adjusted Returns,How does trade frequency impact net Sharpe ratio after accounting for spread friction?,Historical trade frequency logs,Aggregate backtest data analysis,1000 backtest runs,"Strategy dependence",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,High,Strategy Backtester,Strategy Testing
Strategy Testing,Slippage & Spread Friction Impact on Strategy Expectancy,At what spread threshold does a positive expectation M15 strategy become negative EV?,Historical candle data & tick spread overlays,Backtesting engine friction simulation,500 strategy backtests,"Historical spread estimates",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,High,Strategy Backtester,Strategy Testing
Strategy Testing,Overfitting Risk in Multi-Parameter Optimization,What ratio of parameter optimizations to sample size leads to out-of-sample failure?,In-sample vs out-of-sample performance matrices,Python quantitative optimization suite,1000 optimization runs,"Limited to tested asset classes",Quantitative Risk Reviewer,DRAWDOWN_OBSERVED,No,No,Yes,High,Strategy Backtester,Strategy Testing
